2,4-Дактив, КЭ|Рапира, КЭ; Эндимион, КЭ; 
Аккурат, ВДГ|Гренч, СП; Делегат, ВДГ; Зингер, СП; Ларен Мет Про, ВДГ; Ларен Про, ВДГ; Магнум, ВДГ; МетАлт, ВДГ; Метметил, ВДГ; Наномет, СП; Сарацин, ВДГ; Террамет, ВДГ; Хит, СП;
Акрис, СЭ|--
Акробат МЦ, ВДГ |Гимнаст, СП; Манкодим, СП; Рапид Дуэт, СП; Соланум, СП; Филдер 69, ВГ; 
Акробат Топ, ВДГ |--
Аксакал, КЭ|Аксиал, КЭ;
Аксела, Г|Гроза-3, Г; Слизнеед Нео, Г; СтопУлит, Г; Хищник, Г; 
Аксиал 50, КЭ|--
Аксиома, КС|Кредо, СК; Сарфун, СК; Доктор Кроп, КС; Зим 500, КС; Зимошанс, КС; Казим, КС; Казимир, КС; Карбезим, КС; Карбонар, КС; Кардинал 500, КС; Кардон, КС; Карзибел, КС; Комфорт, КС; Феразим, КС; Дерозал Евро, КС; 
Актара, ВДГ|--
Актеллик, КЭ|--
Актеон, ВР |Дикамерон, ВР; Зенарил, ВР; Кирай, ВР; Круцифер, ВР; Лерашанс, ВР; Мегалит, ВР; Меридиан, ВР; Рапсан, ВР; Шкипер, ВР; 
Актион, КС|--
Акцент, КЭ |--
Алатар, КЭ|--
Алгоритм, КЭ|БАМБУ, КЭ; Трейсер, КЭ; Камелин, КЭ; Клордин, КЭ; Комманд, КЭ; 
Алиос, КС|--
Алиот, КЭ|Фуфанон, КЭ; 
Алирин-Б, Ж|Алирин-Б, ТАБ;
Алирин-Б, СП|--
Алирин-Б, ТАБ|Алирин-Б, Ж;
Алистер Гранд, МД|--
Аллерт, СТС|Алсион, ВДГ; Альфа-Гард, ВДГ; Купаж, ВДГ; Танит, МД; Тифенс, ВДГ; Тифи, ВДГ; ТифилАгро, ВДГ; Хармони Про, ВДГ; Хармони, СТС; Шансти, ВДГ; 
Алсион, ВДГ|Аллерт, СТС; Альфа-Гард, ВДГ; Купаж, ВДГ; Танит, МД; Тифенс, ВДГ; Тифи, ВДГ; ТифилАгро, ВДГ; Хармони Про, ВДГ; Хармони, СТС; Шансти, ВДГ; 
Алтис, ВДГ|Арпад, ВДГ; Гримс, ВДГ; Денди, СТС; Кассиус, ВРП; Маис, СТС; Ранголи-Тиран, ВДГ; Риманол, ВДГ; Римлин, ВДГ; Римус, ВДГ; Римэкс, ВДГ; Ромул, ВДГ; Титус, СТС; Тример, ВДГ; Цицерон, ВДГ; Шантус, ВДГ; 
АлтСил, КС|Раксон, КС; Стингер, КС; Тебу 60, МЭ; Тебузан, ТКС; Террасил, КС; Экономикс Колор, КС; Бункер, ВСК; Грандсил, КС; Доспех, КС; Редут, КС; Сфинкс, КС; Тебуконазол, КС; Фразол Классик, КС; 
Альбит, ТПС|Альбит, ТПС (РРС); Экопин, ТПС;
Альбит, ТПС (РРС)|Альбит, ТПС; Экопин, ТПС;
Алькасар, КС |Аттик, КС; Даймонд Супер, КС; ДВД Шанс, КС; Дивиденд Стар, КС; 
Алькор, КС|Рекрут, КС; Цимус, КС;
Альпари, КЭ|Аваксс, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Альтазол, КЭ|Аваксс, КЭ; Альпари, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Альтаир, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Альтерр, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Альто Супер, КЭ|Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альтрум Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Альто Турбо, КЭ|--
Альтруист, КЭ|Альтруист, СК; 
Альтруист, СК|Альтруист, КЭ;
Альтрум Супер, КЭ|Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Анемон, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Альфа Атаман, ВР|Ампир, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
АЛЬФА БРИГАДИР, КЭ|Бетакем, КЭ; Бетанал Прогресс ОФ, КЭ; Бетанал Эксперт ОФ, КЭ; Бетахим Эксперт, КЭ; Беташанс Трио, КЭ; Бетинол Плюс, КЭ; Битатрин, КЭ; Бифор Прогресс, ВСК; Вымпел 3, КЭ; Горизонт, КЭ; Гуд-Харвест Свекольный Гербицид, КЭ; Древер, КЭ; Комрад, КЭ; Лидер, КЭ; Профессор, КЭ; Ратник, КЭ; Секира Элит, КЭ; Синбетан Эксперт ОФ, КЭ; Тринити, КЭ; Эксперт Трио ОФ, КЭ;
Альфа Ринг, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа-Ципи, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Альфа Стар, ВДГ|Агростар, ВДГ; Аргамак, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
Альфа Тигр, КЭ|Леопард, КЭ; Норвел, КЭ; Ранголи-Таргон-С, КЭ; 
Альфа Феникс, КС|Импакт, КС; Компакт, КС; Кэнсел, КС; Минхати, КС; Скальпель, КС; Триафол, КС; Фитолекарь, КС; Флуафол, КС; Флуплант, КС; Флутривит, КС; Флутриобел, КС; Форис, КС;
Альфа-Амиприд, РП|Агент, ВДГ; Газель, РП; Гринда, РП; Моспилан, РП; Снейк, РП; 
Альфабел, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфа-Ципи, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Альфа-Бентазон, ВР|АгроБазон, ВР; Альфа-бентазон, ВР; Базон, ВР; Барон, ВР; Базагран, BР; Бентазолин, ВР; Бентасил, ВР; Бентекс, ВР; Бентобел, ВР; Бентограм, ВР; Бентус, ВР; Бизон, ВК; Бонус, ВР; Бунт, ВР; Гарнизон, ВР; Гранбаз, ВР; Изобен, ВР; Корсар, ВРК; Наношанс, ВР; Ранголи-Базорон, ВР; Сикурс, ВР; Тигрис, ВР; 
Альфа-Гард, ВДГ|Алсион, ВДГ; Аллерт, СТС; Купаж, ВДГ; Танит, МД; Тифенс, ВДГ; Тифи, ВДГ; ТифилАгро, ВДГ; Хармони Про, ВДГ; Хармони, СТС; Шансти, ВДГ; 
Альфа-Дикамба, ВРК|Адвокат, ВР; Витара, ВР; Герб-480, ВР; Губернатор, ВР; Дамба, ВР; Девиз, ВР; Деймос, ВРК; Декабрист, ВР; Диамант, ВР; Дианат, ВР; Диастар, ВР; Дикамбел, ВР; Ларт, ВР; Мономакс, ВР; Мурал, ВР; Оптимум, ВР; Санпэй, ВР; Шанс ДКБ, ВР;
Альфа-Дикват, ВР|Абидос, ВР; Адекват, ВР; Волат, ВР; Голден Ринг, ВР; Десикант Экспертоф, ВР; Десикат Супер, ВР; Дикват, ВРК; Дикватерр Супер, ВР; Дикошанс, ВР; Донат, ВР; Лост, ВР; Молоток, ВР; Полис, ВР; Ранголи-Реголон, ВР; Регистан, ВРК; Реглон Форте, ВР; Результат Супер, ВР; Ректон, ВР; Суховей, ВР; Тонгара, ВР; Эквит, ВР;
Альфа-Директор, КЭ|Евродим, КЭ; Би-58 Топ, КЭ; Бинадин, КЭ; Бишка, КЭ; Данадим Эксперт, КЭ; Ди-68, КЭ; Диметрон, КЭ; Диметус, КЭ; Димефос, КЭ; Дишанс, КЭ; Евродим, КЭ; Ранголи-Дункан, КЭ; Рогор-С, КЭ; Сирокко, КЭ; Тагор, КЭ; Террадим, КЭ; Тод, КЭ; Фостран, КЭ;
Альфа-Пиралид, ВР|Агрон, ВР; Бис-300, ВР; Газонтрел, ВР; Клорит, ВР; Корректор, ВР; Лонган, ВР; Лонтрел-300, ВР; Лорнет, ВР; Премьер 300, ВР; Хакер 300, ВР; Хатор, ВР; Цукрон+, ВР; Шанстрел 300, ВР; 
Альфаплан, КС|--
Альфа-Прометрин, КС|Бриг, КС; Гезагард, КС; Гезадар, КС; Гонор, КС; Гордон, КС; Кратерр, КС; Позитив Плюс, КС; Промекс, КС; Променад, КС; Промет, КС; Прометрин, СК; Промобел, КС; Сармат, КС; Тристар, СП; Фортис, КС; Шансгард, КС; 
Альфа-Протравитель, ТКС|Скарлет, МЭ; Тебузил, ТКС;
Альфа-Серф, ВК|Биотлин, ВРК; Варрант, ВРК; Заман, ВРК; Зенит, ВРК; Зубр, ВРК; Имидабел, ВРК; Имидашанс, ВРК; Имидж, ВРК; Имидор Про, КС; Имидор, ВРК; Имиприд, ВРК; Искра Золотая, ВРК; Калаш, ВРК; Командор, ВРК; Контадор, ВРК; Конфибой, ВРК; Конфиделин, ВРК; Корадо, ВРК; Корадо, ВРК (old); Кортлис, ВРК; Муссон, ВРК; Ранголи-Имидоклоприд, ВРК; Танрек, ВРК; 
Альфастим, ВЭ|Биосил, ВЭ; Новосил, ВЭ; 
Альфа-Ципи, КЭ|Айвенго, КЭ; Аккорд, КЭ; АлтАльф, КЭ; Альтаир, КЭ; Альтерр, КЭ; Альфа Ринг, КЭ; Альфабел, КЭ; Альфаметрин, КЭ; Альфатек, КЭ; Альфацин, КЭ; Армин, КЭ; Атрикс, КЭ; Мамба, КЭ; Неофрал, КЭ; Острог, МК; Пикет, КЭ; Фаскорд, КЭ; Фастак, КЭ; Фасшанс, КЭ; Фатрин, КЭ; Цезарь, КЭ; Цепеллин, КЭ; Ци-Альфа, КЭ; Цунами, КЭ;
Альфин, ТАБ |Джинн, ТАБ; Катфос, ТАБ,$ Квикфос, ТАБ$ ФлагАгро, ТАБ$ Фоском, ТАБ$ Фостоксин, ТАБ$ Фосфин, ТАБ$ Фумифаст, ТАБ$ Фумифос, ТАБ$ Фумишанс, ТАБ$ Фумфайтер, ТАБ$
Альянс, ВР|Всполох, ВР ; Диакем, ВР; Диамакс, ВР ; Диана, ВР ; Дикопур Топ, ВР ; Диален Супер, ВР ;
Аметил, ВРК|Агрошанс, ВК; Агритокс, ВК; Гербитокс, ВРК; Линтаплант, ВК; 
Аминка ФЛО, КЭ|Балет, КЭ; Дива, КС
Аминка ЭФ, КЭ|Айкон, КЭ; Левират, КЭ; Топтун, КЭ; Эфирам, КЭ; Эффект, КЭ; 
Аминка, ВР|Дикамин-Д, ВР; Аминопелик, ВР; Диамисоль, ВР; 
Аминопелик, ВР|Аминка, ВР; Дикамин-Д, ВР; Диамисоль, ВР; 
Амистар Голд, СК|--
Амистар Нэкст, МД|Азорит, СК; Амистар Экстра, СК; Стробишанс Про, СК; Триактив Экстра, КС;
Амистар Топ, СК|--
Амистар Трио, КЭ|--
Амистар Экстра, СК|Азорит, СК; Амистар Нэкст, МД; Стробишанс Про, СК; Триактив Экстра, КС;
Ампир Экстра, ВР|Аргумент Стар, ВР; Аристократ Супер, ВР; Вольник, ВР; Гелиос Экстра, ВР; ГлиБест 540, ВР; Глифор Форте, ВР; Глифошанс Супер, ВР; Голиаф, ВР; Раундап Экстра, ВР; Силач, ВР; Спрут Экстра, ВР; Тачдаун, ВР; Торнадо 540,
Ампир, ВР|Альфа Атаман, ВР; Аргумент, ВР; Гелиос, ВР; Глибел, ВР; ГлиБест, ВР; Глифид, ВР; Глифоголд, ВР; Глифор, ВР; Глифот, ВР; Глифошанс, ВР; Граунд, ВР; Дзюдо, ВР; Зеро, ВР; Кайман, ВР; Ликвидатор, ВР; Напалм, ВР; Пилараунд, ВР; Рауль, ВР; Раундап Макс, ВР; Раундап, ВР; Росейт, ВР; Спрут, ВР; Тайфун, ВР; Торнадо, ВР; Торнадо, ВР 2585; Тотал, ВР; Файтер, ВР; Факел, ВР; Чистогряд, ВР;
Амплиго, МКС|--
Анаконда, КЭ|Авангард, КЭ; Бегин, КЭ; Гуд-Харвест С-Метолахлор, КЭ; Джиндур, КЭ; Дифилайн, КЭ; Дуал Голд, КЭ; Душанс, КЭ; Метолс, КЭ; Ранголи-Дон, КЭ; Селена, КЭ; Симба, КЭ; Стрим, КЭ; Телус, КЭ; Хевимет, КЭ;
Анемон, КЭ |Аваксс, КЭ; Альпари, КЭ; Альтазол, КЭ; Альто Супер, КЭ; Альтрум Супер, КЭ; Атлант Супер, КЭ; Виртуоз, КЭ; Золтан, КЭ; Калибел, КЭ; Маэстро, КЭ; Пропишанс Супер, КЭ; Профи Супер, КЭ; Ранголи-Ципрос, КЭ; Супер Альянс, КЭ; Фильтерр, КЭ; Фунгисил, КЭ; Цимус Прогресс, КЭ; Цимус Прогресс, КЭ 1574;
Анкор-85, ВДГ|--
Ансамбль, КС|Виннер, КС; Винцит, КС;
Антарес, ВК|Властелин, ВК;
Антивылегач, BP|--
Антиклещ, КЭ|Искра М, КЭ; 
Антитлин, П|--
Антракол, ВДГ|--
Аполло, КС|--
Апплауд, СП|--
Априори, ВДГ|--
Апрон Голд, ВЭ|--
Арбалет, СЭ|Дисулам, СЭ; Люгер, СЭ; Опричник, СЭ; Премьера, СЭ; Флорастар, СЭ; Камаро, СЭ; 
Арбитр АГ, СП|Арбитр, СП; БитЛайт, КС; Караван, СП; Карамболь, СП; Кари-Макс, СП; Карибу С, ВДГ; Карибу, ВДГ; КариПро, ВДГ; Каришанс, ВДГ; Карнаби, ВДГ; Карриджу, ВДГ; Кондор, ВДГ; Малибу, ВДГ; Олимп, ВДГ; Рандеву, ВДГ; Флуорон, ВДГ; Форинт, ВДГ; Фурон, ВДГ;
Арбитр, СП|Арбитр АГ, СП; БитЛайт, КС; Караван, СП; Карамболь, СП; Кари-Макс, СП; Карибу С, ВДГ; Карибу, ВДГ; КариПро, ВДГ; Каришанс, ВДГ; Карнаби, ВДГ; Карриджу, ВДГ; Кондор, ВДГ; Малибу, ВДГ; Олимп, ВДГ; Рандеву, ВДГ; Флуорон, ВДГ; Форинт, ВДГ; Фурон, ВДГ;
Арбонал, ВК|Ас, ВК; Грейдер, ВГР; Шквал, ВК;
Аргамак, ВДГ|Агростар, ВДГ; Альфа Стар, ВДГ; Аргамак, ВДГ-1001; Артстар, ВДГ; Бен Гур, ВДГ; Бенрил, ВДГ; Гекстар, ВДГ; Герсотил, ВДГ; Герсотил, ВДГ+; Гран-при, ВДГ; Гранат, ВДГ; Гранд Плюс, ВДГ; Гранилин, ВДГ; Гренадер, ВДГ; Громстор, ВДГ; Грэнери, ВДГ; Гюрза, СП; Коррида, ВДГ; Мортира, ВДГ; Норман, ВДГ; Прометей, ВДГ; Ранголи-Трибенурон, ВДГ; Санфло, ВДГ; Спецназ 750, ВДГ; Сталкер, ВДГ; Старбокс, СТС; Суперстар, ВДГ; Таллер, ВДГ; Террастар, ВДГ; ТриАлт, ВДГ; Трибел, ВДГ; Трибинстар, ВДГ; Трибун, СТС; Трибунал, ВДГ; Тризлак, ВДГ; Триметил, ВДГ; Триммер, ВДГ; Ферат, ВДГ; Флюенс, ВДГ; Химстар, ВДГ; Шанстар, ВДГ; Экспресс, ВДГ;
АРГО, МЭ|--
